nama,kode,satuan,harga,,,,,,,,,,,,,,,,,,,,,,
Firmware embedded system AAQR datalogger untuk sensor kualitas udara (AQ-XXX-3M),FW-009-AQ01,Unit,"39,868,421",,,,,,,,,,,,,,,,,,,,,,
Firmware embedded system ASQR datalogger untuk sensor kualitas tanah (SQ-XXX-3M),FW-010-SQ01,Unit,"39,868,421",,,,,,,,,,,,,,,,,,,,,,
Upgrade firmware tambah sensor untuk mengukur kualitas tanah,FW-010-ADD01,Unit,"6,128,421",,,,,,,,,,,,,,,,,,,,,,
Firmware embedded system for costumize data logger (base firmware),FW-011-CST,Unit,"19,425,263",,,,,,,,,,,,,,,,,,,,,,
Firmware embedded system for costumize data logger (additional sensor),FW-012,Unit,"4,192,632",,,,,,,,,,,,,,,,,,,,,,
"Datalogger BL-110 System Series  (lengkap dengan solar cell, solar charge, deep cycle battery, data sender dan enclosure IP65)",BL-110,Unit,"39,414,737",,,,,,,,,,,,,,,,,,,,,,
"Firmware embedded system AWLR datalogger untuk sensor ultrasonic atau radar (US-XXX-5M, RS-XXXX-5M, AW-XXXX-5M)",FW-001-WLR02,Unit,"19,820,000",,,,,,,,,,,,,,,,,,,,,,
Upgrade firmware tambahan untuk mengukur debit air (US-XXX-5M atau RS-XXXX-5M),FW-001-WDC02,Unit,"5,565,263",,,,,,,,,,,,,,,,,,,,,,
Firmware embedded system ARR datalogger untuk sensor tipping bucket series (TB-0XX-2M),FW-002-RR02,Unit,"15,208,421",,,,,,,,,,,,,,,,,,,,,,
Vibrating Wire Multiplexer 16CH (built in vibrating wire generator),MUX-016-VW,Unit,"85,842,105",,,,,,,,,,,,,,,,,,,,,,
Vibrating Wire Multiplexer 8CH (built in vibrating wire generator),MUX-008-VW,Unit,"52,904,211",,,,,,,,,,,,,,,,,,,,,,
Analog/Digital Multiplexer 64CH,MUX-064-AD,Unit,"51,455,789",,,,,,,,,,,,,,,,,,,,,,
Analog Multiplexer 32CH,MUX-032-AD,Unit,"39,563,158",,,,,,,,,,,,,,,,,,,,,,
Solar cell 12VDC 100Watt with waterproof connector and 2m power cable,SC-100-12V,Unit,"3,963,158",,,,,,,,,,,,,,,,,,,,,,
Battery deep cycle 12VDC 50Ah,BATT-50-12V,Unit,"4,803,158",,,,,,,,,,,,,,,,,,,,,,
Bracket solar cell dengan monopole galvanis 2.5" x 2m,BRC-100-2M,Unit,"1,333,684",,,,,,,,,,,,,,,,,,,,,,
"Warning system beacon for alarm, 4 level warning with fix sound buzzer",AWS-400-24V,Unit,"26,315,789",,,,,,,,,,,,,,,,,,,,,,
Serial Data Multiplexer 2CH,MUX-002-AD,Unit,"7,305,263",,,,,,,,,,,,,,,,,,,,,,
Data Converter Modbus RS485,CONV-002-485,Unit,"7,578,947",,,,,,,,,,,,,,,,,,,,,,
Web monitoring access and database storage cloud services,WEBMON-SENSOR DATA,Unit,"3,811,579",,,,,,,,,,,,,,,,,,,,,,
Database storage sensor services for 1 year,SENSOR-DATA,Unit,"229,474",,,,,,,,,,,,,,,,,,,,,,
"BL-1100 datalogger (upgradable for lots of sensor) with 8 x analog input, 4 x digital IO, 3 x serial data, 1 x TCP port, and 1 x USB port",BL-1100,Unit,"34,685,263",,,,,,,,,,,,,,,,,,,,,,
"BL-110 datalogger (only 1 sensor) with 2 x analog input, 2 x digital IO, 1 x serial data, 1 x TCP port, and 1 x USB port",BL-110,Unit,"24,278,947",,,,,,,,,,,,,,,,,,,,,,
Service Hardware Datalogger BL-1100,BL-1100-SRV,Unit,"13,873,684",,,,,,,,,,,,,,,,,,,,,,
Service Hardware Datalogger BL-110,BL-110-SRV,Unit,"9,712,632",,,,,,,,,,,,,,,,,,,,,,
Outdoor enclosure ABS IP65 530 x 630 x 255 mm,ENC-5060-ABS,Unit,"11,816,842",,,,,,,,,,,,,,,,,,,,,,
Outdoor enclosure ABS IP65 400 x 500 x 200 mm,ENC-4050-ABS,Unit,"6,862,105",,,,,,,,,,,,,,,,,,,,,,
Outdoor enclosure ABS IP65 350 x 450 x 200 mm,ENC-3545-ABS,Unit,"6,098,947",,,,,,,,,,,,,,,,,,,,,,
WiFi router GSM 3G/4G data sender with 1 x ethernet port WAN and 4 x ethernet port LAN,DS-001-INT,Unit,"13,187,368",,,,,,,,,,,,,,,,,,,,,,
WiFi router GSM 3G/4G data sender with 1 x ethernet port,DS-002-INT,Unit,"8,003,158",,,,,,,,,,,,,,,,,,,,,,
Solar battery charger PWM 12VDC 20Amp,SCH-20-12V,Unit,"1,287,368",,,,,,,,,,,,,,,,,,,,,,
Solar cell 12VDC 100Watt with waterproof connector and 2m power cable,SC-100-12V,Unit,"3,963,158",,,,,,,,,,,,,,,,,,,,,,
Vertical Axis Wind Turbine 12VDC 100Watt weatherproof and 2m power cable,VAWT-100-12V,Unit,"10,153,684",,,,,,,,,,,,,,,,,,,,,,
Battery deep cycle 12VDC 50Ah,BATT-50-12V,Unit,"4,803,158",,,,,,,,,,,,,,,,,,,,,,
Battery deep cycle 12VDC 100Ah,BATT-100-12V,Unit,"7,894,737",,,,,,,,,,,,,,,,,,,,,,
Bracket solar cell dengan monopole galvanis 2.5" x 2.5 m,BRC-100-2.5M,Unit,"1,333,684",,,,,,,,,,,,,,,,,,,,,,
Wireless Bluetooth 2.0 for setup data logger,BT-020-TTL,Unit,"191,579",,,,,,,,,,,,,,,,,,,,,,
Reset module 1 x relay NC swicth,RST-001-NC,Unit,"571,579",,,,,,,,,,,,,,,,,,,,,,
External programmable automatic reset datalogger (all type BE datalogger),WDT-001-NN,Unit,"648,421",,,,,,,,,,,,,,,,,,,,,,
MMC SD Card 16GB,SD-016,Unit,"69,474",,,,,,,,,,,,,,,,,,,,,,
USB data cable 1m,CBL-001-USB,Unit,"46,316",,,,,,,,,,,,,,,,,,,,,,
Analog multiplexer 8 x 4 channels with 1 x data serial RS232,MUX-008-ANL,Unit,"19,324,211",,,,,,,,,,,,,,,,,,,,,,
Vibrating wire generator 2 channels with 1 x data serial RS232,VW-002-GEN,Unit,"25,117,895",,,,,,,,,,,,,,,,,,,,,,
Sub domain web monitoring system lengkap dengan jasa instalasi ke cloud server BE,WEB-001-SUB,Unit,"53,362,105",,,,,,,,,,,,,,,,,,,,,,
Web monitoring system lengkap dengan jasa instalasi ke server LAN,WEB-001-LAN,Unit,"45,720,000",,,,,,,,,,,,,,,,,,,,,,
Limited Costum Mobile Application for Monitoring,APP-001-CST,Unit,"36,842,105",,,,,,,,,,,,,,,,,,,,,,
Alarm Warning System Using 1000 Credit SMS (1 credit = 1 SMS),WEB-002-EWS,Unit,"867,368",,,,,,,,,,,,,,,,,,,,,,
Alarm Warning System Using Email (for 1 year),WEB-003-EWS,Unit,"461,053",,,,,,,,,,,,,,,,,,,,,,
Robotic Monitoring Sensor Profesional Packages Series Model 01,Leica TM-50,Unit,"1,543,623,158",,,,,,,,,,,,,,,,,,,,,,
Robotic Monitoring Sensor Profesional Packages Series Model 02,Leica TS-16,Unit,"850,202,105",,,,,,,,,,,,,,,,,,,,,,
GPS/GNSS Geodetic Reciever,Leica GMX-910,Unit,"187,372,632",,,,,,,,,,,,,,,,,,,,,,
Monitoring Target Prism,MTP-100,Unit,"8,121,053",,,,,,,,,,,,,,,,,,,,,,
Station Backsight Prism,MTP-500,Unit,"42,936,842",,,,,,,,,,,,,,,,,,,,,,
Software GNSS Automatic Positioning and Control,Leica SPIDER,Unit,"816,498,947",,,,,,,,,,,,,,,,,,,,,,
Software Geodetic Deformation Monitoring System for GNSS and Robotic,Leica GEOMOS,Unit,"921,833,684",,,,,,,,,,,,,,,,,,,,,,
"Server Database Systems model Rack lengkap dengan, UPS, monitor, keyboard, dan mouse (OS Linux)",DBS-001-L,Unit,"85,973,684",,,,,,,,,,,,,,,,,,,,,,
"Server Database Systems model Rack lengkap dengan, UPS, monitor, keyboard, dan mouse (OS Windows)",DBS-001-W,Unit,"105,078,947",,,,,,,,,,,,,,,,,,,,,,
Point to Point Communication Radio Link,RAD-001-L,Unit,"25,080,000",,,,,,,,,,,,,,,,,,,,,,
Access Point Communication Radio Link for Base Station,RAD-001-AP,Unit,"78,571,579",,,,,,,,,,,,,,,,,,,,,,
Subcriber Module Communication Radio Link for Rover Station,RAD-001-SM,Unit,"12,540,000",,,,,,,,,,,,,,,,,,,,,,
Dedicated Power Supply 12V-50Ah Include Solar panel 100Watt,SCG-050,Unit,"35,858,947",,,,,,,,,,,,,,,,,,,,,,
Dedicated Power Supply 12V-100Ah Include Solar panel 200Watt,SCG-100,Unit,"51,227,368",,,,,,,,,,,,,,,,,,,,,,
Dedicated Power Supply 12V-200Ah Include Solar panel 400Watt,SCG-200,Unit,"73,181,053",,,,,,,,,,,,,,,,,,,,,,
Data converter Robotic Serial to TCP,CONV-001-232,Unit,"8,008,421",,,,,,,,,,,,,,,,,,,,,,
Data Converter TCP to Fiber Optic,CONV-001-FO,Unit,"686,316",,,,,,,,,,,,,,,,,,,,,,
Data Converter Fiber Optic to TCP,CONV-002-FO,Unit,"686,316",,,,,,,,,,,,,,,,,,,,,,
Kabel Fiber Optic panjang 1000m,CBL-1000-FO,Unit,"2,515,789",,,,,,,,,,,,,,,,,,,,,,
Data sender software for GEOMOS to Web Monitoring System,DS-GEOMOS,Unit,"38,649,474",,,,,,,,,,,,,,,,,,,,,,
Sistem penangkal petir untuk alat instrumentasi (lokasi pemasangan masih di wilayah pulau jawa),LP-320-ESE,Unit,"225,488,421",,,,,,,,,,,,,,,,,,,,,,
"Tower triangle diameter 25cm @panjang 4meter dilengkapi kawat sling diameter @3,2mm",SST-2504,Unit,"2,341,053",,,,,,,,,,,,,,,,,,,,,,
Network IP Camera PTZ,IP-001-CAM,Unit,"23,940,000",,,,,,,,,,,,,,,,,,,,,,
Network IP Camera Statis,IP-002-CAM,Unit,"3,820,000",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
